Lat,Long,Confirmed
30.0572,107.874,426
26.0789,117.9874,224
35.7518,104.2861,67
23.3417,113.4244,1034
23.8298,108.7881,172
26.8154,106.8748,81
19.1959,109.7453,117
39.549,116.1306,172
47.861999999999995,127.7615,277
37.8957,114.9042,914
22.3,114.2,25
30.9756,112.2707,24953
27.6104,111.7088,772
44.0935,113.9448,50
32.9711,119.455,408
27.614,115.7221,661
43.6661,126.1923,65
41.2956,122.6085,99
22.1667,113.55,10
37.2692,106.1655,43
35.7452,95.9956,18
35.1917,108.8701,184
36.3427,118.1498,386
31.201999999999998,121.4491,277
37.5777,112.2922,104
30.6171,102.7103,344
39.3054,117.323,81
31.6927,88.0924,1
41.1129,85.2401,39
24.974,101.48700000000001,138
29.1832,120.0934,1006
61.92411,25.748151,1
46.2276,2.2137,6
51.165690999999995,10.451526,13
20.593684,78.96288,3
41.87194,12.56738,3
36.204824,138.252924,23
